plz,Population,Bundesland
01067,11957,Sachsen
01069,25491,Sachsen
01097,14821,Sachsen
01099,28018,Sachsen
01108,5876,Sachsen
01109,20010,Sachsen
01127,15079,Sachsen
01129,18915,Sachsen
01139,17555,Sachsen
01156,11317,Sachsen
01157,20684,Sachsen
01159,27666,Sachsen
01169,19091,Sachsen
01187,16423,Sachsen
01189,9741,Sachsen
01217,17501,Sachsen
01219,20916,Sachsen
01237,15536,Sachsen
01239,15134,Sachsen
01257,16265,Sachsen
01259,19007,Sachsen
01277,31798,Sachsen
01279,21201,Sachsen
01307,23815,Sachsen
01309,32890,Sachsen
01324,8874,Sachsen
01326,10802,Sachsen
01328,12342,Sachsen
01445,33224,Sachsen
01454,22281,Sachsen
01458,9817,Sachsen
01465,4104,Sachsen
01468,8215,Sachsen
01471,7592,Sachsen
01477,4776,Sachsen
01558,14551,Sachsen
01561,20492,Sachsen
01587,12390,Sachsen
01589,10121,Sachsen
01591,8795,Sachsen
01594,6780,Sachsen
01609,12490,Sachsen
01612,8042,Sachsen
01616,3888,Sachsen
01619,6215,Sachsen
01623,5408,Sachsen
01640,20751,Sachsen
01662,27076,Sachsen
01665,16574,Sachsen
01683,11035,Sachsen
01689,13976,Sachsen
01705,38322,Sachsen
01723,11815,Sachsen
01728,10419,Sachsen
01731,4365,Sachsen
01734,4390,Sachsen
01737,7036,Sachsen
01738,1113,Sachsen
01744,14642,Sachsen
01762,1147,Sachsen
01768,6993,Sachsen
01773,5504,Sachsen
01774,7050,Sachsen
01776,869,Sachsen
01778,3065,Sachsen
01796,41947,Sachsen
01809,24151,Sachsen
01814,6482,Sachsen
01816,5796,Sachsen
01819,2232,Sachsen
01824,6474,Sachsen
01825,1435,Sachsen
01829,1666,Sachsen
01833,10143,Sachsen
01844,13336,Sachsen
01847,3148,Sachsen
01848,3513,Sachsen
01855,10390,Sachsen
01877,19908,Sachsen
01896,11696,Sachsen
01900,9736,Sachsen
01904,8227,Sachsen
01906,2775,Sachsen
01909,4005,Sachsen
01917,17848,Sachsen
01920,18532,Sachsen
01936,11707,Sachsen
01945,11001,Brandenburg
01968,24423,Brandenburg
01979,16088,Brandenburg
01983,9382,Brandenburg
01987,5972,Brandenburg
01990,3403,Brandenburg
01993,2761,Brandenburg
01994,1986,Brandenburg
01996,1814,Brandenburg
01998,1415,Brandenburg
02625,40343,Sachsen
02627,11881,Sachsen
02633,4974,Sachsen
02681,12222,Sachsen
02689,7117,Sachsen
02692,7042,Sachsen
02694,9454,Sachsen
02699,7163,Sachsen
02708,26998,Sachsen
02727,5758,Sachsen
02730,7784,Sachsen
02733,5014,Sachsen
02736,3785,Sachsen
02739,4453,Sachsen
02742,3588,Sachsen
02747,6369,Sachsen
02748,3665,Sachsen
02763,28718,Sachsen
02779,6282,Sachsen
02782,4069,Sachsen
02785,5427,Sachsen
02788,4183,Sachsen
02791,5495,Sachsen
02794,3860,Sachsen
02796,1715,Sachsen
02797,1515,Sachsen
02799,1282,Sachsen
02826,25382,Sachsen
02827,17068,Sachsen
02828,12013,Sachsen
02829,9743,Sachsen
02894,7146,Sachsen
02899,4107,Sachsen
02906,18024,Sachsen
02923,5860,Sachsen
02929,5110,Sachsen
02943,23176,Sachsen
02953,6032,Sachsen
02956,2736,Sachsen
02957,5015,Sachsen
02959,4305,Sachsen
02977,36125,Sachsen
02979,5794,Sachsen
02991,9144,Sachsen
02994,6798,Sachsen
02997,5892,Sachsen
02999,5735,Sachsen
03042,18419,Brandenburg
03044,17694,Brandenburg
03046,20626,Brandenburg
03048,14639,Brandenburg
03050,14076,Brandenburg
03051,6526,Brandenburg
03052,1505,Brandenburg
03053,694,Brandenburg
03054,2302,Brandenburg
03055,3613,Brandenburg
03058,5228,Brandenburg
03096,9426,Brandenburg
03099,9364,Brandenburg
03103,2035,Brandenburg
03116,5914,Brandenburg
03119,3942,Brandenburg
03130,27681,Brandenburg
03149,22297,Brandenburg
03159,5360,Brandenburg
03172,22755,Brandenburg
03185,9714,Brandenburg
03197,1455,Brandenburg
03205,9068,Brandenburg
03222,16525,Brandenburg
03226,8798,Brandenburg
03229,3606,Brandenburg
03238,24729,Brandenburg
03246,1395,Brandenburg
03249,3503,Brandenburg
03253,12064,Brandenburg
04103,13502,Sachsen
04105,15890,Sachsen
04107,11593,Sachsen
04109,11615,Sachsen
04129,11601,Sachsen
04155,16245,Sachsen
04157,22275,Sachsen
04158,13979,Sachsen
04159,21913,Sachsen
04177,16855,Sachsen
04178,14379,Sachsen
04179,14550,Sachsen
04205,14523,Sachsen
04207,17885,Sachsen
04209,18835,Sachsen
04229,30475,Sachsen
04249,14730,Sachsen
04275,22189,Sachsen
04277,21625,Sachsen
04279,15023,Sachsen
04288,11173,Sachsen
04289,9279,Sachsen
04299,14268,Sachsen
04315,15847,Sachsen
04316,7578,Sachsen
04317,17627,Sachsen
04318,14151,Sachsen
04319,10874,Sachsen
04328,4101,Sachsen
04329,14607,Sachsen
04347,19258,Sachsen
04349,8168,Sachsen
04356,2286,Sachsen
04357,14336,Sachsen
04416,23530,Sachsen
04420,14800,Sachsen
04425,14164,Sachsen
04435,16951,Sachsen
04442,8798,Sachsen
04451,8212,Sachsen
04463,5338,Sachsen
04509,39116,Sachsen
04519,4933,Sachsen
04523,7826,Sachsen
04539,7824,Sachsen
04552,19802,Sachsen
04564,6704,Sachsen
04565,4164,Sachsen
04567,5377,Sachsen
04571,6095,Sachsen
04575,7178,Sachsen
04600,34093,Thüringen
04603,10356,Thüringen
04610,10968,Thüringen
04613,4071,Thüringen
04617,10908,Thüringen
04618,2197,Thüringen
04626,19057,Thüringen
04639,5353,Thüringen
04643,7556,Sachsen
04651,8399,Sachsen
04654,13483,Sachsen
04668,34365,Sachsen
04680,9253,Sachsen
04683,11809,Sachsen
04687,4085,Sachsen
04703,8898,Sachsen
04720,28919,Sachsen
04736,9403,Sachsen
04741,7964,Sachsen
